state,county,num_physicians
Alabama,Autauga,25
Alabama,Baldwin,155
Alabama,Barbour,8
Alabama,Bibb,11
Alabama,Blount,13
Alabama,Bullock,3
Alabama,Butler,5
Alabama,Calhoun,73
Alabama,Chambers,14
Alabama,Cherokee,10
Alabama,Chilton,9
Alabama,Choctaw,5
Alabama,Clarke,13
Alabama,Clay,5
Alabama,Cleburne,4
Alabama,Coffee,28
Alabama,Colbert,35
Alabama,Conecuh,5
Alabama,Coosa,1
Alabama,Covington,19
Alabama,Crenshaw,2
Alabama,Cullman,46
Alabama,Dale,9
Alabama,Dallas,29
Alabama,DeKalb,30
Alabama,Elmore,21
Alabama,Escambia,13
Alabama,Etowah,83
Alabama,Fayette,16
Alabama,Franklin,14
Alabama,Geneva,8
Alabama,Greene,4
Alabama,Hale,3
Alabama,Henry,5
Alabama,Houston,88
Alabama,Jackson,28
Alabama,Jefferson,709
Alabama,Lamar,1
Alabama,Lauderdale,47
Alabama,Lawrence,5
Alabama,Lee,85
Alabama,Limestone,32
Alabama,Lowndes,1
Alabama,Macon,7
Alabama,Madison,319
Alabama,Marengo,7
Alabama,Marion,10
Alabama,Marshall,53
Alabama,Mobile,278
Alabama,Monroe,8
Alabama,Montgomery,221
Alabama,Morgan,58
Alabama,Perry,3
Alabama,Pickens,8
Alabama,Pike,16
Alabama,Randolph,7
Alabama,Russell,15
Alabama,Shelby,172
Alabama,St. Clair,15
Alabama,Sumter,7
Alabama,Talladega,25
Alabama,Tallapoosa,20
Alabama,Tuscaloosa,150
Alabama,Walker,26
Alabama,Washington,3
Alabama,Wilcox,4
Alabama,Winston,10
Alaska,Aleutians East,1
Alaska,Aleutians West,2
Alaska,Anchorage,325
Alaska,Bethel,18
Alaska,Bristol Bay,0
Alaska,Denali,1
Alaska,Dillingham,13
Alaska,Fairbanks North Star,78
Alaska,Haines,7
Alaska,Hoonah-Angoon,1
Alaska,Juneau,41
Alaska,Kenai Peninsula,46
Alaska,Ketchikan Gateway,14
Alaska,Kodiak Island,17
Alaska,Kusilvak,1
Alaska,Lake and Peninsula,0
Alaska,Matanuska-Susitna,48
Alaska,Nome,9
Alaska,North Slope,3
Alaska,Northwest Arctic,4
Alaska,Petersburg,6
Alaska,Prince of Wales-Hyder,5
Alaska,Sitka,17
Alaska,Skagway,0
Alaska,Southeast Fairbanks,7
Alaska,Valdez-Cordova,9
Alaska,Wrangell,3
Alaska,Yakutat,0
Alaska,Yukon-Koyukuk,1
Arizona,Apache,23
Arizona,Cochise,68
Arizona,Coconino,119
Arizona,Gila,25
Arizona,Graham,22
Arizona,Greenlee,5
Arizona,La Paz,6
Arizona,Maricopa,1
Arizona,Mohave,102
Arizona,Navajo,68
Arizona,Pima,863
Arizona,Pinal,69
Arizona,Santa Cruz,23
Arizona,Yavapai,142
Arizona,Yuma,98
Arkansas,Arkansas,10
Arkansas,Ashley,8
Arkansas,Baxter,31
Arkansas,Benton,161
Arkansas,Boone,28
Arkansas,Bradley,6
Arkansas,Calhoun,2
Arkansas,Carroll,16
Arkansas,Chicot,11
Arkansas,Clark,10
Arkansas,Clay,2
Arkansas,Cleburne,14
Arkansas,Cleveland,1
Arkansas,Columbia,14
Arkansas,Conway,14
Arkansas,Craighead,124
Arkansas,Crawford,25
Arkansas,Crittenden,17
Arkansas,Cross,7
Arkansas,Dallas,3
Arkansas,Desha,5
Arkansas,Drew,13
Arkansas,Faulkner,61
Arkansas,Franklin,5
Arkansas,Fulton,7
Arkansas,Garland,87
Arkansas,Grant,2
Arkansas,Greene,26
Arkansas,Hempstead,6
Arkansas,Hot Spring,7
Arkansas,Howard,6
Arkansas,Independence,29
Arkansas,Izard,5
Arkansas,Jackson,7
Arkansas,Jefferson,47
Arkansas,Johnson,15
Arkansas,Lafayette,2
Arkansas,Lawrence,5
Arkansas,Lee,1
Arkansas,Lincoln,2
Arkansas,Little River,3
Arkansas,Logan,4
Arkansas,Lonoke,12
